182860,188281,188436,186135,181143
186989,202546,191878,183087,183170
203783,202472,192105,188729,184921
181055,182526,183300,183185,188603
186103,183333,182526,185125,192733
183185,184625,185773,198065,185471
185471,183092,182026,192225,183778
187861,188528,196685,181975,185712
194537,196387,183505,182513,204189
185146,195102,194522,189171,188111
189000,180826,188392,183977,180678
178828,194101,185637,191087,189076
178828,188272,185637,191087,189076
184889,182759,189171,182638,182603
194537,185637,191087,182205,183320
183890,184285,202407,180534,187289
187048,188372,202420,186411,195622
185224,183977,190559,193355,189429
192543,189107,193990,194229,181028
182258,186530,185782,194692,183626
194229,189107,193990,181028,192543
181282,194541,195428,180422,182132
190259,187806,195097,194541,191960
191081,182105,184797,183669,180515
191081,182105,184797,180515,185818
182681,179918,194910,185563,182123
183722,182936,192253,180308,182715
181824,196509,182021,192121,180356
178828,195690,194049,202134,196548
184025,186734,190537,184227,193990
188270,184901,196342,189263,185058
182860,195069,188372,204208,202134
185094,188868,202420,193916,186790
187105,192087,187682,185563,180024
193990,182536,192253,186139,191076
182128,182542,186425,192075,182738
186517,184901,187086,196342,182638
186517,184901,196342,194537,182638
186517,184901,198044,196342,182638
187105,186948,193243,183081,182950
186517,186891,179257,188868,192105
182936,180091,179959,182780,186517
184625,188272,191960,182728,192733
185818,182973,195476,191977,184907
192733,182210,189263,186059,199899
188700,185259,183568,180384,190436
178828,189143,191810,192086,180141
180287,203343,194541,186790,182086
180769,182522,183568,202472,181515
190259,189171,181048,192180,186517
188272,195110,182860,196018,184914
187048,184845,185818,185604,185816
181282,196544,185652,180113,179083
188911,196226,185961,182626,185196
179117,185637,186946,179184,195428
183568,188364,183570,193680,185813
189730,185637,184845,183590,181944
186289,194522,182258,182936,189730
183081,185717,194724,196342,183979
186517,194101,200160,188700,183213
180461,183486,188632,181659,181932
183185,181959,186139,182902,182108
183185,184625,186139,182902,182108
198044,183497,196387,183016,183037
192337,188448,184752,182436,196537
182615,183203,196226,195563,192285
182681,183497,182773,179923,196537
194444,192733,182201,185546,183320
203783,182129,183312,189665,186711
183185,194533,186139,182902,182108
186138,194457,188315,190559,189429
183185,182026,186139,182902,182108
183185,182413,186139,182902,182108
195536,182413,195260,188717,195466
182318,184944,185146,195466,195536
184173,181282,185824,182112,180164
182638,194533,185961,194925,182143
183185,183081,198065,182098,185471
193990,192180,193144,187080,187861
183185,185196,186139,182902,182108
181143,185196,182653,182129,185706
183185,186139,185146,182902,182108
183185,180859,186139,182902,182108
179117,191020,186869,182339,191885
182936,186869,191885,179117,180361
184173,186869,191885,179117,180164
187861,182536,182526,188730,183676
181282,186726,184860,182327,193990
193359,190360,182773,194537,179923
186989,195069,196008,192242,181140
180772,196342,183922,199887,183639
181897,183599,182858,195554,185760
185818,182782,187691,185773,184625
181282,178828,186948,193243,180399
184370,178828,186948,193243,202134
182637,195553,186348,184370,179117
185818,182936,188785,180361,181911
178858,182193,180399,200160,204200
179117,194101,193359,187105,187048
187048,181958,204200,185818,200160
187048,188372,204208,202134,182860
178828,188272,181052,194561,183590
187812,183795,185816,204200,195069
181143,182129,182653,185196,185706
183185,182129,186139,182902,182108
183185,186139,181143,182902,182108
184625,203751,183893,182430,196544
200160,183680,195803,185816,196178
196715,194930,182200,186382,183087
181143,182653,185196,182129,185706
181282,194623,184133,183922,182524
198062,192150,193839,199699,188841
186077,203737,183887,187682,183486
179117,182524,181678,182482,180308
186493,194810,183882,183486,203737
183486,188272,180113,185637,187682
188603,188439,184914,182523,182413
183185,185806,185782,198065,185471
194623,193243,185460,182340,182334
184173,192150,183788,180164,193404
186138,187684,188315,190559,189429
187861,192150,182505,188730,183676
187861,179912,179002,188730,183676
187861,194102,203802,188730,183676
185606,184324,185125,192241,182352
181167,182358,186790,186493,183568
