195554,194537,189318,182153,204189,198023,185867,181167,180770,189000
186795,183486,185578,203737,198053,194810,188911,187154,185808,187682
186026,196548,202335,195553,193839,190523,190446,189962,186600,186348
184881,196548,195553,189962,193839,190523,186600,186348,184901,185622
183676,185008,188396,184809,182696,182205,183245,186795,194457,192241
188416,189700,195376,183722,195605,192245,194477,183505,182950,189769
185578,187682,186795,185808,203737,198053,194810,188911,187154,186694
183676,198053,187682,187154,182696,182205,183245,186795,194457,192241
187612,196537,190580,185767,189263,188962,185766,184210,183027,186026
183477,181933,194537,187691,186139,182893,186424,194186,193363,182843
186026,202335,196548,195553,193839,190523,190446,189962,186600,186348
188632,203485,199949,194809,194447,194426,194187,192625,192112,191844
188730,196715,196008,195992,195501,195476,192593,191977,190022,189441
183590,201882,186364,195591,188872,188392,188063,187056,183885,183882
183037,199887,196342,181390,188983,186869,185546,181937,181932,182961
182720,181937,181932,184988,184752,181390,192337,182436,180252,192241
184221,181937,181932,184988,181390,180252,193092,181941,192086,189769
194187,203485,185563,181937,181932,184988,199949,194809,194447,194426
181282,181933,190259,184644,182893,185639,195457,188700,203649,181028
182603,185712,183666,181937,181932,184988,181390,180252,192241,182720
181390,199699,198062,191874,182379,182258,182132,181937,181932,184988
182720,181937,181932,184988,181390,198053,180252,187154,187682,192241
186600,184881,202335,190446,196548,195553,193839,190523,189962,184901
186600,184881,182033,202335,196548,195553,193839,190523,190446,189962
186348,184881,202335,196548,195553,193839,190523,190446,189962,186600
194809,185460,185563,183935,186773,187056,203485,199949,194447,194426
194426,185563,185460,183935,187056,186773,203485,199949,194809,194447
195260,185460,186773,194369,196387,187056,195536,193765,195740,192704
183317,185460,187056,186773,183570,183140,186364,183882,183885,183590
185604,183666,185712,185460,187056,186773,183570,185972,195553,186425
194477,184221,185460,198081,197985,187056,186773,195803,195605,195376
186425,185460,187056,186773,183570,198053,187154,185972,195553,187682
195553,187612,186600,196548,186348,185622,184881,184175,190446,182352
193839,193753,179923,194809,196548,186600,186026,202335,195553,187612
192625,191844,188396,187291,186979,203485,199949,194447,194426,194809
194447,191844,188436,188396,187291,186979,187612,203485,199949,194809
188462,194369,196387,195536,193765,195740,192704,195260,188843,188560
198009,183666,185712,187612,186977,187055,195690,189286,194561,191844
191844,187612,198053,187682,187154,186977,187055,195690,189286,194561
189962,196548,196483,192638,196537,202335,195553,193839,190523,190446
185808,183887,203737,198053,194810,188911,187682,187154,186795,186694
188730,196715,196008,195992,195501,195476,192593,191977,190022,189441
187154,189040,188528,183887,179063,203737,198053,194810,188911,187682
